City,Reporting Period,Total emissions (metric tonnes CO2e), GHG/Capita , Population ,Year Reported,Methodology/Protocol
City of Reykjavík,2013,"  346,630 ",  2.831 ,"  122,460 ",2016,"Well, this is the total emissions as we only calculate scope 1. As I understand scope 1 this is scope 1 emissions, due to activities of citizens and businesses within the city limits, waste and flight / shipping. Emissions from energy generation is not included. That kind of emission is though very low as our energy and district heating runs on Hydro power and geothermal heat. We are not counting emissions from activities outside of the borders of the city, such as emissions from the international airport which is outside of Reykjavik and not the emissions of any production outside of the city which I understand is scope 3."
"City of Richmond, VA",2013,"  3,152,498 ",  14.471 ,"  217,853 ",2016,Collected data over a 1 year period with the help of many City departments as well as private utility company.
City of Salvador,2013,"  3,698,964 ",  1.274 ,"  2,902,927 ",2016,
City of Salvador,2013,"  3,661,647 ",  1.261 ,"  2,902,927 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Antonio,2013,"  15,734,762 ",  11.239 ,"  1,400,000 ",2016,
City of Toronto,2013,"  18,320,966 ",  6.655 ,"  2,753,100 ",2016,"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc... b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills."
City of Turku,2013,"  1,107,500 ",  5.954 ,"  186,000 ",2016,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management."
City of West Palm Beach,2013,"  1,484,767 ",  13.150 ,"  112,906 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Yokohama,2013,"  21,950,000 ",  5.901 ,"  3,719,589 ",2016,"Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures. It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment."
Comune di Milano,2013,"  5,976,779 ",  4.425 ,"  1,350,680 ",2016,"We didn't adopt any specific Protocol, anyway, let apart a few details, the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this"
Comune di Udine,2013,"  613,588 ",  6.165 ,"  99,528 ",2016,
District of Columbia,2013,"  7,386,407 ",  10.988 ,"  672,228 ",2016,"Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)"
Fafe,2013,"  163,838 ",  3.320 ,"  49,351 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Gobierno Municipal de León de los Aldamas,2013,"  5,012,133 ",  3.175 ,"  1,578,626 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater London Authority,2013,"  40,190,000 ",  4.673 ,"  8,600,000 ",2016,"London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied."
Greater Manchester,2013,"  14,889,318 ",  5.391 ,"  2,762,000 ",2016,"A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools."
Ho Chi Minh City,2013,"  19,432,078 ",  2.257 ,"  8,611,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ho Chi Minh City,2013,"  30,012,000 ",  3.640 ,"  8,244,400 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Kansas City,2013,"  10,593,687 ",  22.684 ,"  467,007 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Métropole Nice Côte d'Azur,2013,"  2,139,692 ",  3.821 ,"  560,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2013,"  3,241,713 ",  1.295 ,"  2,502,557 ",2016,"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system. It is worth mentioning that according to this model first-order decay, For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif. Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane."
Municipality of Curitiba,2013,"  3,036,279 ",  1.733 ,"  1,751,907 ",2016,Developed in partnership with ICLEI/URBAN LEDS Project
Municipality of Curitiba,2013,"  4,125,853 ",  2.355 ,"  1,751,907 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Curitiba,2013,"  4,421,196 ",  2.524 ,"  1,751,907 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Porto Alegre,2013,"  2,829,128 ",  2.007 ,"  1,409,351 ",2016,
Município de Águeda,2013,"  258,882 ",  5.424 ,"  47,729 ",2016,"Sustainable Energy Action Plan (SEAP) + SEAP Monitoring Report: Águeda’s SEAP holds a total carbon reduction potential of 33% by 2020, using 2002 as the reference year. The considered actions will also result in substantial economical benefits for the region’s citizens, companies and municipality, estimated at an average of 8 million Euros per year.An average investment of 3,3 million Euros per year is required to implement the actions included in the SEAP, but the bulk of this cost can be supported by external investment (public incentives, bank loans, ESCO models and the transaction of white certificates and carbon credits), which reduces to 1,2 million Euros per year the investment to be supported by the region’s citizens, companies and municipality."
Município de Moita,2013,"  96,508 ",  1.462 ,"  66,029 ",2016,This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)
Nelson Mandela Bay Municipality,2013,"  12,232,310 ",  10.617 ,"  1,152,115 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Pingtung County Government,2013,"  4,604,805 ",  5.476 ,"  840,931 ",2016,
Pingtung County Government,2013,"  4,662,550 ",  5.579 ,"  835,792 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Betim,2013,"  1,763,018 ",  4.663 ,"  378,089 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Florianópolis,2013,"  1,450,465 ",  2.637 ,"  550,000 ",2016,IDOM / COBRAPE / BID /PMF (2014)
Prefeitura de Florianópolis,2013,"  740,635 ",  1.347 ,"  550,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Palmas,2013,"  625,392 ",  2.293 ,"  272,726 ",2016,O diagnóstico qualitativo das informações complementa a avaliação quantitativa.
Prefeitura de Porto Velho,2013,"  850,210 ",  1.984 ,"  428,527 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Región Metropolitana de Santiago,2013,"  23,120,028 ",  3.161 ,"  7,314,176 ",2016,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used."
Región Metropolitana de Santiago,2013,"  28,406,420 ",  4.352 ,"  6,527,903 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Seoul Metropolitan Government,2013,"  47,612,664 ",  4.624 ,"  10,297,138 ",2016,"Plus, For Local Government Greenhouse Gas Inventories., Korea Environment Corporation, 2010,)"
Suwon City,2013,"  5,775,155 ",  4.726 ,"  1,221,973 ",2016,
Taoyuan City Hall,2013,"  30,073,752 ",  14.225 ,"  2,114,172 ",2016,
Tokyo Metropolitan Government,2013,"  70,733,403 ",  5.183 ,"  13,646,764 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ville de Lausanne,2013,"  499,573 ",  3.568 ,"  140,000 ",2016,Baseline Emission Inventory of the Covenant of Mayor
Ville de Montreal,2013,"  10,197,555 ",  5.203 ,"  1,959,987 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Vilnius City Municipality,2013,"  1,994,560 ",  3.676 ,"  542,626 ",2016,"Inventory report is prepared in accordance with the methodology recommended by the Intergovernmental Panel on Climate Change (IPCC) publications: 1. Revised 1996 Guidelines for National Greenhouse Gas Inventories, IPCC, 1997; 2. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, IPCC, 2000; 3. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC, 2006 GHG emissions were calculated from activity levels in the different sectors that are in accordance with the IPCC publications."
Yilan County,2013,"  8,180,557 ",  17.831 ,"  458,777 ",2016,
Ajuntament de Barcelona,2014,"  3,329,110 ",  2.069 ,"  1,608,746 ",2017,Other
Alcaldìa de Ibagué,2014,"  2,330,487 ",  4.132 ,"  564,077 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Auckland Council,2014,"  8,388,416 ",  5.196 ,"  1,614,400 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ayuntamiento de Hermosillo,2014,"  5,627,561 ",  7.738 ,"  727,267 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2014,"  9,236,196 ",  2.917 ,"  3,165,883 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Barreiro,2014,"  290,849 ",  3.693 ,"  78,764 ",2016,The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).
Bogor City Government,2014,"  2,193,642 ",  2.093 ,"  1,047,922 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
"Broward County, FL",2014,"  25,207,288 ",  13.480 ,"  1,870,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Athens,2014,"  4,711,576 ",  7.095 ,"  664,046 ",2016,
City of Atlanta,2014,"  9,024,235 ",  20.335 ,"  443,775 ",2016,"The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol."
City of Baltimore,2014,"  7,230,859 ",  11.764 ,"  614,664 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Basel-Stadt,2014,"  825,704 ",  4.150 ,"  198,988 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2014,"  6,066,182 ",  9.390 ,"  646,000 ",2016,"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures."
City of Buenos Aires,2014,"  19,667,128 ",  6.439 ,"  3,054,267 ",2016,"The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach."
City of Cardiff,2014,"  1,959,900 ",  5.532 ,"  354,300 ",2017,Other
City of Chula Vista,2014,"  1,210,870 ",  4.568 ,"  265,070 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Denver,2014,"  8,942,000 ",  13.470 ,"  663,862 ",2016,"The methodology is explained in more detail in the peer-reviewed journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q ."
City of Durban,2014,"  22,587,081 ",  6.352 ,"  3,555,868 ",2016,
City of Edmonton,2014,"  16,576,702 ",  18.880 ,"  878,000 ",2016,"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis."
"City of Emeryville, CA",2014,"  167,728 ",  15.868 ,"  10,570 ",2016,
"City of Emeryville, CA",2014,"  171,413 ",  16.217 ,"  10,570 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Flagstaff,2014,"  1,211,617 ",  17.645 ,"  68,667 ",2016,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)
City of Hiroshima,2014,"  8,675,437 ",  7.284 ,"  1,191,030 ",2016,環境省のマニュアル
City of Hobart,2014,"  513,016 ",  10.171 ,"  50,440 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Houston,2014,"  33,414,017 ",  14.219 ,"  2,349,993 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Houston,2014,"  33,428,301 ",  14.558 ,"  2,296,224 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Hvidovre,2014,"  219,396 ",  4.142 ,"  52,964 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Johannesburg,2014,"  24,716,713 ",  4.943 ,"  5,000,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lagos,2014,"  29,426,266 ",  1.401 ,"  21,000,000 ",2016,
City of Las Vegas,2014,"  29,657,130 ",  47.683 ,"  621,970 ",2016,"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada."
City of Lisbon,2014,"  1,934,361 ",  3.531 ,"  547,773 ",2016,"The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used. To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from National Energy Balance from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). The latest value was used, which refers to 2014 conditions."
City of Ljubljana,2014,"  2,079,758 ",  7.241 ,"  287,218 ",2016,"The difference that occurs in emissions (between C1.4 and C1.5) is a result of different emissions counting from electricity consumption as required by the COM. Check the XLS REPORT: Table B. Summary - I.4.4 Energy supplied to the grid is informal only - not summed in the total emissions (Scope 1), like in your caclulation C1.5 row 3 - CITY INDUCED FRAMEWORK ONLY"
City of Ljubljana,2014,"  2,060,963 ",  7.149 ,"  288,307 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of London, ON",2014,"  3,070,000 ",  8.187 ,"  375,000 ",2016,as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program
"City of London, ON",2014,"  3,160,000 ",  8.294 ,"  381,000 ",2017,International Emissions Analysis Protocol (ICLEI)
City of Melbourne,2014,"  5,319,010 ",  39.014 ,"  136,336 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Minneapolis,2014,"  4,794,708 ",  11.775 ,"  407,207 ",2016,A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector. - electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector.
City of Minneapolis,2014,"  4,758,487 ",  11.580 ,"  410,939 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of New Orleans,2014,"  4,558,575 ",  11.700 ,"  389,617 ",2016,
City of New Orleans,2014,"  3,606,199 ",  9.211 ,"  391,495 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Paris,2014,"  5,195,663 ",  2.293 ,"  2,265,886 ",2016,
City of Paris,2014,"  5,489,249 ",  2.423 ,"  2,265,886 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Perth,2014,"  653,337 ",  20.269 ,"  32,233 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Philadelphia,2014,"  17,355,479 ",  11.126 ,"  1,559,938 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Portland, OR",2014,"  6,974,544 ",  11.261 ,"  619,360 ",2016,
City of Reno,2014,"  4,437,665 ",  18.725 ,"  236,995 ",2016,Also utilized the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Reno,2014,"  2,730,235 ",  11.132 ,"  245,255 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Rochester,2014,"  1,800,000 ",  8.549 ,"  210,563 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of San Antonio,2014,"  16,498,864 ",  11.225 ,"  1,469,845 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Saskatoon,2014,"  3,493,456 ",  13.168 ,"  265,300 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Savannah,2014,"  3,609,546 ",  24.778 ,"  145,674 ",2017,International Emissions Analysis Protocol (ICLEI)
City of Seattle,2014,"  3,470,000 ",  4.786 ,"  725,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Seattle,2014,"  3,471,000 ",  5.240 ,"  662,400 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Somerville, MA",2014,"  586,308 ",  7.431 ,"  78,900 ",2016,
"City of Somerville, MA",2014,"  598,143 ",  7.581 ,"  78,900 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of St Catharines, ON",2014,"  954,541 ",  7.264 ,"  131,400 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St Louis,2014,"  8,703,679 ",  27.259 ,"  319,294 ",2016,We are using the 4th edition of the Protocol.
City of Toronto,2014,"  20,043,240 ",  7.280 ,"  2,753,100 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Tshwane,2014,"  21,426,358 ",  6.481 ,"  3,306,198 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2014,"  2,442,602 ",  4.047 ,"  603,500 ",2016,The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.
City of Warsaw,2014,"  11,721,774 ",  7.196 ,"  1,629,037 ",2017,Other
City of Windsor,2014,"  2,475,703 ",  11.739 ,"  210,891 ",2016,
City of Windsor,2014,"  1,898,713 ",  8.742 ,"  217,188 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Yokohama,2014,"  20,375,000 ",  5.461 ,"  3,731,096 ",2017,Other
City of Zaragoza,2014,"  1,785,604 ",  2.701 ,"  661,108 ",2016,Metodología propia basada en los factores oficiales del Ministerio de Agricultura y Medioambiente para las emisiones directas y en los de la Comisión Nacional de la Energía para las debidas al uso de la electricidad
Comune di Firenze,2014,"  1,630,308 ",  4.317 ,"  377,635 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Comune di Torino,2014,"  3,496,156 ",  3.890 ,"  898,714 ",2016,"The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative. The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year)."
Egedal Municipality,2014,"  179,535 ",  4.275 ,"  42,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Gladsaxe Kommune,2014,"  362,078 ",  5.432 ,"  66,656 ",2016,
Government of Hong Kong Special Administrative Region,2014,"  44,900,000 ",  6.120 ,"  7,336,600 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater Amman Municipality,2014,"  7,215,407 ",  1.947 ,"  3,705,490 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater London Authority,2014,"  40,096,000 ",  4.662 ,"  8,600,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Greater Manchester,2014,"  16,892,757 ",  6.116 ,"  2,762,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hobart City Council,2014,"  338,925 ",  6.691 ,"  50,655 ",2017,Other
Hoeje-Taastrup Kommune,2014,"  297,000 ",  5.940 ,"  50,002 ",2016,National standard for municipalities in Denmark
Jakarta City Government,2014,"  27,780,000 ",  2.735 ,"  10,155,902 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Kaohsiung City Government,2014,"  58,755,764 ",  21.145 ,"  2,778,729 ",2016,"GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline."
KwaDukuza,2014,"  1,008,657 ",  3.645 ,"  276,719 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Metropolitan Government of Nashville and Davidson County,2014,"  13,461,292 ",  19.828 ,"  678,889 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mexico City,2014,"  23,655,111 ",  2.665 ,"  8,874,724 ",2016,"Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City"
Mexico City,2014,"  30,870,170 ",  3.478 ,"  8,874,724 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de  Córdoba,2014,"  5,099,175 ",  3.267 ,"  1,560,900 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de General Alvear (Mendoza),2014,"  180,115 ",  3.879 ,"  46,429 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Fortaleza,2014,"  5,139,514 ","  1,956.061 ","  2,627 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Hjørring,2014,"  417,000 ",  6.385 ,"  65,308 ",2016,
Municìpio de Guimarães,2014,"  401,323 ",  2.591 ,"  154,920 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Municipio de Mérida,2014,"  3,262,192 ",  3.656 ,"  892,363 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New Taipei City Government,2014,"  17,233,924 ",  4.345 ,"  3,966,818 ",2016,"GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively."
